Row Labels,TotalOT,PL1,SL1,SP1,IP1,Total SL,TotalLeave,OT,10.5,AGE_YR,SERV_YR,Reason,Status
147K6,34.300,0.067,1.600,0.000,0.000,1.600,1.667,25.900,0.800,22,0,W,Working
148F1,1.875,0.000,0.000,0.000,0.000,0.000,0.000,1.875,0.000,36,4,A,Resign
148F6,15.762,0.000,0.762,0.000,0.000,0.762,0.762,15.262,0.048,27,4,W,Working
148G4,51.487,0.256,0.000,0.359,0.000,0.359,0.615,36.141,1.462,40,4,W,Working
148H9,0.000,0.143,0.429,0.000,0.000,0.429,0.571,0.000,0.000,35,2,W,Working
148K2,33.357,0.286,0.357,0.571,0.000,0.929,1.214,24.357,0.857,22,1,A,Resign
148K5,0.625,1.250,0.000,0.250,0.000,0.250,1.500,0.625,0.000,19,0,D,Resign
148K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22,0,A,Resign
149D3,13.750,0.000,0.000,0.000,0.000,0.000,0.000,13.750,0.000,44,4,A,Resign
149G8,20.143,0.048,0.238,0.000,0.000,0.238,0.286,18.643,0.143,29,3,W,Working
149H2,22.500,0.000,0.250,0.000,0.000,0.250,0.250,17.250,0.500,23,2,A,Resign
149K1,31.859,0.308,0.385,0.154,0.000,0.538,0.846,25.128,0.641,24,2,W,Working
149K2,43.381,0.238,0.143,0.429,0.619,1.190,1.429,32.881,1.000,21,1,W,Working
149K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22,0,A,Resign
150G7,9.929,0.000,0.714,0.000,0.000,0.714,0.714,9.429,0.048,33,4,W,Working
150H5,18.595,0.000,0.000,0.000,0.000,0.000,0.000,17.095,0.143,30,3,W,Working
150H9,26.000,0.000,0.000,0.143,0.000,0.143,0.143,23.000,0.286,33,2,A,Resign
150K6,8.500,0.000,0.000,0.000,0.000,0.000,0.000,8.500,0.000,27,0,D,Resign
151F3,5.718,0.410,0.051,0.051,0.000,0.103,0.513,3.564,0.205,22,4,W,Working
151G2,11.605,0.211,0.105,0.053,0.000,0.158,0.368,9.947,0.158,32,4,A,Resign
151K1,19.625,0.250,0.250,0.000,0.000,0.250,0.500,17.000,0.250,23,1,A,Resign
151K6,52.967,0.000,0.200,0.000,0.000,0.200,0.200,37.567,1.467,24,0,W,Working
152G2,16.053,0.000,0.000,0.474,0.000,0.474,0.474,13.289,0.263,32,4,A,Resign
152H5,10.250,0.000,0.000,0.000,0.000,0.000,0.000,7.625,0.250,40,2,A,Resign
152H7,6.250,0.250,0.000,0.000,0.000,0.000,0.250,6.250,0.000,32,2,A,Resign
152K2,51.571,0.190,0.381,0.048,0.000,0.429,0.619,37.571,1.333,29,1,W,Working
152K5,1.250,0.250,0.000,0.500,0.000,0.500,0.750,1.250,0.000,19,0,A,Resign
152K6,3.125,0.000,0.000,0.000,0.000,0.000,0.000,3.125,0.000,27,0,A,Resign
153H6,51.738,0.048,0.429,0.000,0.095,0.524,0.571,37.238,1.381,27,3,W,Working
153H9,23.000,0.000,1.000,0.000,0.000,1.000,1.000,17.750,0.500,40,2,A,Resign
153K4,26.143,0.714,0.000,1.286,0.143,1.429,2.143,21.643,0.429,25,0,D,Resign
153K5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21,0,A,Resign
153K6,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,21,0,D,Resign
154H5,10.095,0.190,0.000,0.429,0.000,0.429,0.619,9.095,0.095,23,3,W,Working
154H7,8.125,0.250,0.000,0.000,0.000,0.000,0.250,8.125,0.000,34,2,A,Resign
154K2,32.875,0.500,0.750,0.000,1.250,2.000,2.500,22.375,1.000,22,1,D,Resign
